,location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
4440,San Jose - Jackson S,San Jose-Sunnyvale-Santa Clara,US,o3,0.034,2020-05-20 04:00:00+00:00,ppm,AirNow,37.3483,-121.8947,1.0
4441,San Jose - Jackson S,San Jose-Sunnyvale-Santa Clara,US,pm25,2.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.3483,-121.8947,1.0
4442,Cortez Ozone,MONTEZUMA,US,o3,0.051,2020-05-20 03:00:00+00:00,ppm,AirNow,37.34997,-108.58737,1.0
4443,BEACH ROAD,Richmond,US,o3,0.035,2020-05-20 04:00:00+00:00,ppm,AirNow,37.3589,-77.5936,1.0
4444,GBUAPCD EBAM @ Bisho,GBU,US,pm25,1.0,2017-01-18 23:00:00+00:00,µg/m³,AirNow,37.36066,-118.330826,1.0
4445,NCore - White Mounta,Bishop,US,co,0.12,2020-05-20 04:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0
4446,NCore - White Mounta,Bishop,US,o3,0.037,2020-05-20 04:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0
4447,NCore - White Mounta,Bishop,US,pm10,12.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.360703,-118.33083,1.0
4448,NCore - White Mounta,Bishop,US,pm25,1.7,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.360703,-118.33083,1.0
4449,NCore - White Mounta,Bishop,US,so2,0.0,2020-05-20 04:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0
4450,Bishop Paiute Tribe-,Bishop,US,o3,0.033,2019-09-11 19:00:00+00:00,ppm,AirNow,37.3667,-118.4167,1.0
4451,Bishop Paiute Tribe-,Bishop,US,pm10,12.0,2017-04-14 23:00:00+00:00,µg/m³,AirNow,37.3667,-118.4167,1.0
4452,PECK,Wichita,US,no2,0.005,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4769,-97.3664,1.0
4453,PECK,Wichita,US,o3,0.022,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4769,-97.3664,1.0
4454,PECK,Wichita,US,pm10,26.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.4769,-97.3664,1.0
4455,PECK,Wichita,US,pm25,5.6,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.4769,-97.3664,1.0
4456,PECK,Wichita,US,so2,0.0,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4769,-97.3664,1.0
4457,Redwood City,San Francisco-Oakland-Fremont,US,co,0.15,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4828,-122.2022,1.0
4458,Redwood City,San Francisco-Oakland-Fremont,US,no2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4828,-122.2022,1.0
4459,Redwood City,San Francisco-Oakland-Fremont,US,o3,0.036,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4828,-122.2022,1.0
4460,Redwood City,San Francisco-Oakland-Fremont,US,pm25,2.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.4828,-122.2022,1.0
4461,PIKE2001,PIKE,US,o3,0.028,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4828,-82.5353,1.0
4462,PIKE2001,PIKE,US,pm25,2.1,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.4828,-82.5353,1.0
4463,Turlock - S. Minaret,Modesto,US,no2,0.003,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4883,-120.8358,1.0
4464,Turlock - S. Minaret,Modesto,US,o3,0.032,2020-05-20 04:00:00+00:00,ppm,AirNow,37.4883,-120.8358,1.0
4465,Turlock - S. Minaret,Modesto,US,pm25,12.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.4883,-120.8358,1.0
4466,Jerseydale (seasonal,MARIPOSA,US,o3,0.023,2020-05-20 04:00:00+00:00,ppm,AirNow,37.54377,-119.83957,1.0
4467,MATH & SCIENCE CTR,Richmond,US,co,0.1,2020-05-20 03:00:00+00:00,ppm,AirNow,37.55652,-77.40027,1.0
4468,MATH & SCIENCE CTR,Richmond,US,no2,0.0,2020-05-20 03:00:00+00:00,ppm,AirNow,37.55652,-77.40027,1.0
4469,MATH & SCIENCE CTR,Richmond,US,o3,0.036,2020-05-20 03:00:00+00:00,ppm,AirNow,37.55652,-77.40027,1.0
4470,MATH & SCIENCE CTR,Richmond,US,pm25,9.9,2020-05-20 03:00:00+00:00,µg/m³,AirNow,37.55652,-77.40027,1.0
4471,MATH & SCIENCE CTR,Richmond,US,so2,0.0,2020-05-20 03:00:00+00:00,ppm,AirNow,37.55652,-77.40027,1.0
4472,GBUAPCD EBAM @ Crowl,GBU,US,pm25,12.0,2018-07-18 20:00:00+00:00,µg/m³,AirNow,37.56675,-118.742,1.0
4473,HANOVER,Richmond,US,o3,0.035,2020-05-20 04:00:00+00:00,ppm,AirNow,37.6061,-77.2189,1.0
4474,NATBRIDGE,ROCKBRIDGE,US,o3,0.028,2020-05-20 04:00:00+00:00,ppm,AirNow,37.62668,-79.5126,1.0
4475,Modesto - 14th Stree,Modesto,US,co,0.15,2020-05-20 04:00:00+00:00,ppm,AirNow,37.642166,-120.99421,1.0
4476,Modesto - 14th Stree,Modesto,US,o3,0.032,2020-05-20 04:00:00+00:00,ppm,AirNow,37.642166,-120.99421,1.0
4477,Modesto - 14th Stree,Modesto,US,pm10,10.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.642166,-120.99421,1.0
4478,Modesto - 14th Stree,Modesto,US,pm25,4.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.642166,-120.99421,1.0
4479,Mammoth Lakes,MONO,US,pm10,6.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.645718,-118.966515,1.0
4480,Mammoth Lakes,MONO,US,pm25,3.5,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.645718,-118.966515,1.0
4481,Pawnee & Glenn,Wichita,US,pm10,40.0,2019-04-01 14:00:00+00:00,µg/m³,AirNow,37.6511,-97.3622,1.0
4482,Buick NE,IRON,US,so2,0.0,2020-05-20 04:00:00+00:00,ppm,AirNow,37.65214,-91.11653,1.0
4483,Hayward,San Francisco-Oakland-Fremont,US,o3,0.035,2020-05-20 03:00:00+00:00,ppm,AirNow,37.6547,-122.0317,1.0
4484,Chanute,NEOSHO,US,no2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,37.67696,-95.47594,1.0
4485,Chanute,NEOSHO,US,o3,0.027,2020-05-20 04:00:00+00:00,ppm,AirNow,37.67696,-95.47594,1.0
4486,Chanute,NEOSHO,US,pm10,10.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.67696,-95.47594,1.0
4487,Chanute,NEOSHO,US,pm25,4.7,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.67696,-95.47594,1.0
4488,Chanute,NEOSHO,US,so2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,37.67696,-95.47594,1.0
4489,TracyAP,Stockton,US,no2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,37.6825,-121.4406,1.0
4490,TracyAP,Stockton,US,o3,0.035,2020-05-20 04:00:00+00:00,ppm,AirNow,37.6825,-121.4406,1.0
4491,TracyAP,Stockton,US,pm10,6.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.6825,-121.4406,1.0
4492,TracyAP,Stockton,US,pm25,3.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.6825,-121.4406,1.0
4493,Livermore - Rincon,San Francisco-Oakland-Fremont,US,bc,0.12,2020-03-31 10:00:00+00:00,µg/m³,AirNow,37.687527,-121.78422,1.0
4494,Livermore - Rincon,San Francisco-Oakland-Fremont,US,no2,0.0,2020-05-20 04:00:00+00:00,ppm,AirNow,37.687527,-121.78422,1.0
4495,Livermore - Rincon,San Francisco-Oakland-Fremont,US,o3,0.034,2020-05-20 04:00:00+00:00,ppm,AirNow,37.687527,-121.78422,1.0
4496,Livermore - Rincon,San Francisco-Oakland-Fremont,US,pm25,5.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.687527,-121.78422,1.0
4497,Patterson Pass,San Francisco-Oakland-Fremont,US,no2,0.001,2017-03-30 17:00:00+00:00,ppm,AirNow,37.689613,-121.63191,1.0
4498,Patterson Pass,San Francisco-Oakland-Fremont,US,o3,0.041,2017-03-30 17:00:00+00:00,ppm,AirNow,37.689613,-121.63191,1.0
4499,ELDOSPGS,CEDAR,US,o3,0.03,2020-05-20 04:00:00+00:00,ppm,AirNow,37.70097,-94.03474,1.0
4500,ELDOSPGS,CEDAR,US,pm25,10.5,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.70097,-94.03474,1.0
4501,WHlthDpt,Wichita,US,no2,0.005,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7011,-97.3139,1.0
4502,WHlthDpt,Wichita,US,o3,0.026,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7011,-97.3139,1.0
4503,WHlthDpt,Wichita,US,pm10,15.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.7011,-97.3139,1.0
4504,WHlthDpt,Wichita,US,pm25,0.0,2020-04-16 15:00:00+00:00,µg/m³,AirNow,37.7011,-97.3139,1.0
4505,Pleasanton - Owens C,San Francisco-Oakland-Fremont,US,co,0.21,2020-05-20 04:00:00+00:00,ppm,AirNow,37.70122,-121.90302,1.0
4506,Pleasanton - Owens C,San Francisco-Oakland-Fremont,US,no2,0.001,2020-05-20 04:00:00+00:00,ppm,AirNow,37.70122,-121.90302,1.0
4507,Pleasanton - Owens C,San Francisco-Oakland-Fremont,US,pm25,6.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.70122,-121.90302,1.0
4508,Farrar,PERRY,US,o3,0.02,2020-05-20 04:00:00+00:00,ppm,AirNow,37.70264,-89.69864,1.0
4509,Mackville,WASHINGTON,US,o3,0.026,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7046,-85.0485,1.0
4510,ETOWN2,Elizabethtown,US,o3,0.021,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7064,-85.8517,1.0
4511,ETOWN2,Elizabethtown,US,pm25,3.8,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.7064,-85.8517,1.0
4512,Yosemite NP Turtleba,MARIPOSA,US,o3,0.036,2020-05-20 04:00:00+00:00,ppm,AirNow,37.7133,-119.7061,1.0
4513,Oakland,San Francisco-Oakland-Fremont,US,co,0.23,2020-05-20 04:00:00+00:00,ppm,AirNow,37.74306,-122.16991,1.0
4514,Oakland,San Francisco-Oakland-Fremont,US,no2,0.002,2020-05-20 04:00:00+00:00,ppm,AirNow,37.74306,-122.16991,1.0
4515,Oakland,San Francisco-Oakland-Fremont,US,o3,0.034,2020-05-20 04:00:00+00:00,ppm,AirNow,37.74306,-122.16991,1.0
4516,Oakland,San Francisco-Oakland-Fremont,US,pm25,6.0,2020-05-20 04:00:00+00:00,µg/m³,AirNow,37.74306,-122.16991,1.0
4517,San Ramon,San Francisco-Oakland-Fremont,US,no2,0.0,2020-05-20 04:00:00+00:00,ppm,AirNow,37.74365,-121.93419,1.0
